	id_tweet	created_at	user_name	text
0	1046764647116951553	2018-10-01 09:11:54	dpazmino	#lamadre para esos usuarios de @TransMilenio que cuando llevan morral no lo ponen en la parte de adelante y hacen estorbo #BogotáHumana
1	1046833427301978112	2018-10-01 13:45:12	Citytv	8 años de un patio taller del SITP 'provisional' ►https://t.co/l9BvjSUTI2 https://t.co/NCVKTkaeTE
2	1046876307110412289	2018-10-01 16:35:36	RodrigoMutis	La @CAR_Cundi de manera antidemocrática y arbitraria le impide a la @ReservaVDHammen hacer parte de la discusión sobre la Reserva van der Hammen, como vocero de la veeduría pido solidaridad para denunciar tal atropello
3	1046904276692426754	2018-10-01 18:26:44	Luigi32H	@TransMilenio manden buses acaba de llegar uno pero lleno. Otra media hora?
4	1047149277330460673	2018-10-02 10:40:17	dhidalgo65	.@Bogota sigue disminuyendo el número de muertes en el tráfico (4%  enero-agosto 2018 respecto al mismo periodo de 2017)Importante reducción en peatones Estabilidad en motociclistas @Bocarejo_JP Segumos reforzando #VisiónCeroBOG, gestión de velocidad https://t.co/gEVeESGXrc
5	1047199536978911232	2018-10-02 14:00:00	Bogota	#NoOlvides 🧐 que las rutas alimentadoras 2-11 Andalucía y 13-13 Resurrección 🚌 ajustaron sus recorridos para que más usuarios se vean beneficiados.https://t.co/KTvshvAliv
6	1047207138886656002	2018-10-02 14:30:12	sitpbogota	Ruta P500 (Aeropuerto – Centro Andino) - subete al #SITP https://t.co/Ul5JXdgu2S
7	1047220966865231873	2018-10-02 15:25:09	LucevinGomez	La tarifa diurna del SITP quedaría a $1.750 y la nocturna a $1.800, según alza que alista la Administración.  https://t.co/SwBGFEC0oW
8	1047227626949996544	2018-10-02 15:51:37	Citytv	¡Suplantaron su identidad y ahora tiene 20 vehículos a su nombre, además, fotomultas en tres ciudades distintas!  El peligro de extraviar los documentos #CityNoticiasMD https://t.co/6i3yldcOZP
9	1047243884793946112	2018-10-02 16:56:13	JIPenC	@LuisCampos_DG @FelipeDuqueM1 @TransMilenio Vea por ejemplo https://t.co/ufxMT3lLah
10	1047287648782635008	2018-10-02 19:50:07	__Agnelli	@camilofacellif Después del accidente hago todo al revés, no se te olvide jajaja💔
11	1047317822458802176	2018-10-02 21:50:01	smilenarm	@RevistaSemana @petrogustavo Que alguien explique lo de los 25 años de disfrute para los chilenos?...
12	1047499932209430528	2018-10-03 09:53:40	melo18peralt	Todo el mundo hablando de amor y uno bien frío en los temas del corazón 😂🤦
13	1047505442254016519	2018-10-03 10:15:33	DianaMorV	@Venancioopinon Querido Venancio, gracias. 🦁❤️🇮🇩
14	1047512308698759168	2018-10-03 10:42:50	augustodocente	@SectorMovilidad @Bocarejo_JP Esperamos que la movilidad se mejore en estas vías pues los trancones son enormes, los policías de tránsito solamente estan pendientes del pico y placa, los semáforos se dañan continuamente y los recorridos son de horas.  Entonces secretario trabaje por una mejor movilidad
15	1047514502122672128	2018-10-03 10:51:33	josefaguat	@LauSerrano Jugó bien
16	1047515759575015425	2018-10-03 10:56:33	SrDiegoFernando	"""""""""""""""""""""""""""""""@TransMilenio por que ahora el número de servicios y su respectiva frecuencia se ha disminuido drásticamente con tiempos de espera de más de 15min, y  no es una cuestión de """"""""""""""""""""""""""""""""percepción"""""""""""""""""""""""""""""""" por parte del usuario. Hasta en horas valle hay acumulación de pasajeros en las estaciones."""""""""""""""""""""""""""""""
17	1047622129561337858	2018-10-03 17:59:14	Carolozano1930	45 min esperando el servicio T13 en la séptima de SITP! Ese es el magnífico servicio de @transmisitp y así sin respetar el cliente,pasando los días subiendo tarifas y haciendo lo que se les dé la gana con la gente !!! @EnriquePenalosa GRACIAS por el peor servicio de transporte
18	1047671415812628480	2018-10-03 21:15:04	luisalbertoniet	#BrujosEnElCartel La Brujeria pasa d Generacion en Generacion d quien la hace obvio porq se devuelve, retorna al autor y  familia d este.
19	1047705100062535680	2018-10-03 23:28:55	anama9588	Oye @badbunnyworld ya casi nos vemos mi amorch
20	1047813319564972033	2018-10-04 06:38:57	Marroyavejr	Primera penta del mundial... yai https://t.co/TTm7WEsVWO
21	1047816604489269248	2018-10-04 06:52:00	MONTOYAANGELIK	#enlavialavida 🚴🏼‍♀️🚴🏼‍♂️#niunomas #Bocarejorenuncie marcha x el derecho ala vida y la movilidad @TransMilenio @PORLAMOVILIDAD @CaracolRadio @UltimaHoraBLU @Citytv @rcnradio  @VickyDavilaH @Bocarejo_JP @SectorMovilidad @lafm @NoticiasUno @BiciRegistro_co @BiciRedColombia https://t.co/lJv7sn20UM
22	1047865228577390592	2018-10-04 10:05:13	kmilo0211	Venir a una entrevista de trabajo y darte cuenta de la cantidad de desempleados que hay... Fuck!! ***
23	1047920898479742977	2018-10-04 13:46:26	clajoesor	Me encanta!! Felicitaciones @VickyDavilaH me gusta @eldoctorpelaez y @monto40 al tiempo!!! @lawradio 👌🏼👌🏼👌🏼👌🏼🥂🥂🥂
24	1047925953123500033	2018-10-04 14:06:31	lmmorelli	“Trabajaremos para que los yacimientos en roca generadora se desarrollen de forma responsable. Con los recursos de la industria hidrocarburífera contribuiremos al progreso regional y desarrollo para los colombianos. #ForoYacimientosNoConvencionales
25	1047930078007611394	2018-10-04 14:22:54	Dark_Mustapha	@sebrojasfeed Hay algo indiscutible en esa imagen, los rollos de cinta son huecos, claro reflejo del cerebro de quien realizo esta publicación, mucho mas sin conocer!! porque si conociera el lugar no hablaría de más...
