	id_tweet	created_at	user_name	text	clean
0	1068179274543374336	2018-11-29 11:25:59	2arrojas	@Elrepublicano9 Bueno y el abogado de Petro es el mismo de Odebrech y Odebrech llegó primero con el Polo a Tunjuelo-Canoas otro hueco corrupto .	   y abogar petro odebrech y odebrech polo a tunjuelo canoa hueco corrupto  
1	1056707186561351681	2018-10-28 19:40:00	2arrojas	@GABRIELGAVIRIA1 @ElJodario Y más porque usan aceras y ciclorutas, no cumplen la mayoría las normas de tránsito.	     y acerar y ciclorutas   cumplir mayoría norma tránsito
2	1060309943327342593	2018-11-07 18:16:04	5Karena	Portal Norte cerrado. Ni @TransMilenio ni @PoliciaColombia ni @SectorMovilidad reportan que pasa	portal norte cerrar            reportar paso
3	1075009276425502720	2018-12-18 07:45:58	ALEXBARRETOA	@NoticiasCaracol En la localidad de suba en la mayoría de los conjuntos residenciales no hay parqueaderos, y la gente le toca dejar los carros en frente de las porterías , pero lo más ordenado posible, esto de ha vuelto un negocio para las señoras de la policía de tránsito, no hay parqueaderos	   localidad subir mayoría conjunto residencial parqueaderos   y gente tocar dejar carro frente portería    ordenar   volver negociar señor policía tránsito   parqueaderos
4	1060986364378910720	2018-11-09 15:03:56	ASofiortiz	@DanielSamperO #BuenViernes  #ParoEstudiantil Según @EnriquePenalosa el @TransMilenio es tan bueno, que hasta nos hace viajar en el tiempo: https://t.co/cATE74Blrm	    viernes    parir estudiantil         viajar   
5	1058181716660097024	2018-11-01 21:19:15	AXELGOMEZR	@SectorMovilidad @TransMilenio @Bocarejo_JP Una inquietud, ya no le habían subido al transporte público?? Porque el pasaste desde hace varios meses ya no era a $1650 sino a $1700 y los conductores ya no cargan monedas de $50 para dar las vueltas. Que descaro.	       jp inquietud   subir transportar público    pasar mesar a        a        y conductor cargar monedar      vuelta   descarar
6	1049736311509266432	2018-10-09 14:00:14	AXEL_BARON	@EnriquePenalosa tiene sumida a esta ciudad en el 3cer mundo:-Cuando tuvo la oportunidad d construir el metro en su primera alcaldía nos metió @TransMilenio-Ahora q le dejaron los estudios listos para un metro como el d Quito o NY, dice q no le gusta.#CorrupciónMetroElevado	   sumir a ciudad   cer mundo   oportunidad d construir metro alcaldía meter    q dejar estudio listo metro d quitar o ny   q gustar   corrupción metro elevar
7	1052964471403147266	2018-10-18 11:47:47	AdmonURosario	“Hay muchas transacciones que todavía son offline, estar en un mapa permite generar más tráfico hacia el punto” @waze #URWebCongress@webcongress @URosario	  transaccionar offline   mapa permitir generar tráfico punto      ur web congress   
8	1059848989699264512	2018-11-06 11:44:24	Aguardientosky	@humanito @vultriaisk Entiendo que esos huecos se rellenaban para que se pudiera grabar en el casete. Uno grababa y rompía la tapa de los huecos.	     entender hueco rellenar poder grabar casete   grabar y romper tapar hueco
9	1048589463268540422	2018-10-06 10:03:04	AlejaUrrutiaR	Esa impresión del que se sube al transmilenio un sábado va tibio.	impresión subir transmilenio sábado tibio
