	id_tweet	created_at	user_name	text	clean	cluster	subcluster
1864	1063527101834371073	2018-11-16 15:19:55	BogotaTransito	RT @SectorMovilidad: ☝️Desde hoy, en cinco corredores viales de la ciudad (avenidas Américas, Cali, Boyacá, calle 80 y carrera 68), solo se…	        corredor vial ciudad   avenir américas   cali   boyacá   callar     y carrera      	4	-1
613	1052526400987631616	2018-10-17 06:47:03	RedapBogota	av carrera 30 sin novedad de la calle 63 a la calle 13	av carrera     novedad callar     a callar   	4	-1
193	1049266893369085952	2018-10-08 06:54:56	RedapBogota	IncendioBomberos controlan un incendio al interior de un local comercial ubicado en la Calle  64g con Carrera 52. No hay reporte de personas lesionadas.	incendiar bombero controlar incendiar interior local comercial ubicar callar     gramo carrera      reportar personar lesionar	4	-1
1243	1057958354113478657	2018-11-01 06:31:42	RedapBogota	Por la calle 13 desde la carrera 129 a la carrera 96 C oriente	callar     carrera      a carrera     c orientar	4	-1
200	1049287694751322112	2018-10-08 08:17:35	RedapBogota	la calle 80 entre la carrera 89 a la carrera 70 C al orientela autopista Norte desde la calle 140 hasta la calle 100 sentido norte - surla calle 170 desde la carrera 14 a la carrera 22 al occidentela carrera 7 desde la calle 129 hasta la calle 116 sentido norte - sur	callar     carrera     a carrera     c orientela autopista norte callar      callar      sentir norte    surla callar      carrera     a carrera     occidentela carrera    callar      callar      sentir norte    sur	4	-1
912	1055071266493870080	2018-10-24 07:19:26	BogotaTransito	@WSAYALA @leosierra065 @Alexenlacalle @NattiRueda @TransitoBta @WazeTrafficBOG @SectorMovilidad @RedapBogota Unidad de 👮 @TransitoBta asignada, gracias.	                 unidad      asignar   gracia	4	-1
2982	1071084670006235136	2018-12-07 11:50:59	BogotaTransito	@CABUSTAMANTEF @SectorMovilidad @sitpbogota @TransMilenio Buenos días, Unidad de 👮 @TransitoBta asignada gracias por tu reporte.	           unidad      asignar gracia reportar	4	-1
3721	1078080125768478720	2018-12-26 19:08:26	BogotaTransito	@oscarfierroa @TransitoBta @Bogota Buenas noches, ya se asigno Unidad de 👮@TransitoBta gracias por tu reporte.	       noche   asignar unidad     gracia reportar	4	-1
59	1047273508982718464	2018-10-02 18:53:56	BogotaTransito	RT @SectorMovilidad: 📢#Atención [Comunicado]:📄 Conoce los cierres viales y desvíos por partido de @MillosFCoficial y @SantaFe por Copa Su…	      atención   comunicar     conocer cierre vial y desvío partir    y    copar	4	-1
2343	1066649739687587841	2018-11-25 06:08:09	BogotaTransito	RT @SectorMovilidad: 📣#Atención [Comunicado]:Conozca los cierres viales y desvíos por la “Carrera Asics Golden Run 21k”👉 https://t.co/L…	      atención   comunicar   conocer cierre vial y desvío   carrera asics golden run    k    	4	-1
1818	1063201175070224389	2018-11-15 17:44:48	BogotaTransito	RT @TransMilenio: #TMahora (05:43 p.m.) Si te desplazas por la carrera 7ma, sentido N-S, te informamos que presentamos bloqueos en la call…	     t mahora         página metro    desplazar carrera   ma   sentir n segundo   informar presentar bloqueo call	4	-1
2765	1069677337317384193	2018-12-03 14:38:45	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Chapinero y #Central controlan un incendio en una edificación de 4 niveles en la calle 41 con…	    bombero estación   chapinero y   central controlar incendiar edificación    nivelar callar    	4	-1
575	1052242755240558593	2018-10-16 11:59:57	BogotaTransito	RT @BomberosBogota: Bomberos de la estación #Marichuela aseguran el área en la Calle 71s con Carrera 14, donde controlan un incendio de un…	    bombero estación   marichuela asegurar área callar    segundo carrera      controlar incendiar	4	-1
2370	1066860440976850944	2018-11-25 20:05:25	BogotaTransito	@kt_run Buenas Noches, gestionando Unidad de 👮@TransitoBta y 🚑 asignadas, gracias por tu reporte.	   run noche   gestionar unidad     y    asignar   gracia reportar	4	-1
2498	1067631112007094273	2018-11-27 23:07:47	Citytv	Organismos de emergencia, rescataron en la tarde del martes, los cuerpos de los 5 operarios fallecidos en el incidente de la construcción del puente La Pala #CityNoticias https://t.co/imJFFKe6GZ	organismo emergencia   rescatar martes   cuerpo    operario fallecido incidente construcción puente para   city noticiar  	4	-1
1967	1064355862196699138	2018-11-18 22:13:06	RedapBogota	@esrobado carro spark lite Placa DZS649 kr 39b # 2b-28 barrio Gaitan  Cortez Bogota - localidad puente Aranda 18Nov18 #esrobado https://t.co/bmsgvCpFN3	   carro spark litar placa dzs     kr    b     b     barrio gaitan   cortez bogota    localidad puente aranda    nov     esrobado  	4	-1
2757	1069604529782566912	2018-12-03 09:49:26	WazeTrafficBOG	Apártate de Calle 128 B hoy #traficobogota. El tráfico es 26m más lento de lo normal https://t.co/dMzV7lYI1C https://t.co/otPRVoizId	apártate callar      b   traficobogota   tráfico    metro lento normal    	4	-1
1471	1060341579548889088	2018-11-07 20:21:47	WazeTrafficBOG	Apártate de Calle 25 B hoy #traficobogota. El tráfico es 22m más lento de lo normal https://t.co/HrjcLjpUjc https://t.co/spMQr7Ux3Y	apártate callar     b   traficobogota   tráfico    metro lento normal    	4	-1
1472	1060343894045528064	2018-11-07 20:30:59	WazeTrafficBOG	Apártate de Calle 25 B hoy #traficobogota. El tráfico es 20m más lento de lo normal https://t.co/t6SUp5zcDS https://t.co/qKhmGgLnlM	apártate callar     b   traficobogota   tráfico    metro lento normal    	4	-1
3277	1073347922148900864	2018-12-13 17:44:21	WazeTrafficBOG	Apártate de Calle 71 B hoy #traficobogota. El tráfico es 21m más lento de lo normal https://t.co/VlOXohbLk3 https://t.co/yJy8L5mZXF	apártate callar     b   traficobogota   tráfico    metro lento normal    	4	-1
2031	1064638841221451778	2018-11-19 16:57:34	BogotaTransito	RT @IDIGER: En #TemporadaDeLluvias🌧️☔ la prevención vial 🚗✅ está en nuestras manos. ¡Reducir el riesgo es nuestra mejor opción! Consulta má…	      temporada lluvia     prevención vial     mano    reducir riesgo opción   consultar má	4	-1
1317	1058519135989231621	2018-11-02 19:40:03	BogotaTransito	En este #PlanÉxodo conduce con precaución, que nuestras buenas conductas en la vía nos ayuden a evitar los siniestros viales y a disfrutar este puente festivo en alegria y en familia. https://t.co/Cwl2PaX7Nk	  planéxodo conducir precaución   conducta vía ayudar a evitar siniestro vial y a disfrutar puente festivo alegria y familia   	4	-1
2890	1070651380573110272	2018-12-06 07:09:15	Citytv	RT @BallesterosLeo: @ArribaBogota obtuvo un revelador video sobre el fatídico accidente en la calle 26. Una camioneta blindada que transpor…	      obtener revelador video fatídico accidentar callar      camioneta blindar transpor	4	-1
1604	1061096711144292352	2018-11-09 22:22:24	Citytv	"""""""""""""""🎶 La nominación al #LatinGrammy... """"""""""""""""Este segundo álbum, 'Idas y vueltas'lo vi más difícil de ser nominado[...] Fue un álbum más personal, eranmis canciones y me sentía más vulnerable"""""""""""""""".  #MejorHablemos con María Mulata. https://t.co/PJ6YH9MSfe"""""""""""""""	    nominación   latin grammy       álbum    ir y vuelta ver difícil nominar       álbum personal   eranmis canción y sentir vulnerable       hablar maría mulato   	4	-1
3664	1077900265720811520	2018-12-26 07:13:44	Citytv	51 personas fueron sorprendidas conduciendo en estado de embriaguez y 122 fueron multadas por exceso de velocidad, entre 24 y 25 de diciembre.  Por otra parte, un taxi terminó volcado en la NQS y en otro caso, en la misma avenida, dos particulares estrellados #ArribaBogotá https://t.co/JARyxRf5H8	    personar sorprender conducir embriaguez y      multar exceso velocidad       y     diciembre      taxi terminar volcar nqs y casar   avenir   particular estrellar   bogotá  	4	-1
