	id_tweet	created_at	user_name	text	clean	cluster	subcluster
984	1056888464728354816	2018-10-29 07:40:20	Citytv	#ArribaBogotá Autoridades capturaron a 7 personas que son integrantes de la banda 'los sudaca', en el barrio las Cruces. Estos delincuentes deberán responder por tráfico y fabricación de estupefaciente y porte ilegal de armas. https://t.co/6R98RmxXEq	  bogotá autoridad capturar a    personar integrante banda   sudaca    barrio cruzar   delincuente deber responder tráfico y fabricación estupefaciente y portar ilegal armar   	5	0
418	1050360594166177798	2018-10-11 07:20:55	Citytv	#ArribaBogotá Autoridades capturaron a alias 'Toto' y 'Mateo'. Estos delincuentes son reconocidos en el departamento de Antioquia, donde estaban siendo requeridos por un homicidio y porte de estupefacientes y armas. https://t.co/1TsE7yrMTN	  bogotá autoridad capturar a alias   toto   y   matear    delincuente reconocer departamento antioquia   requerir homicidio y portar estupefaciente y armar   	5	0
773	1054706879086104577	2018-10-23 07:11:30	Citytv	#ArribaBogotá Capturan en las últimas horas al presunto asesino de Mario Felipe Chávez, el ahijado de @ClaraLopezObre. Aunque al principio se creía que fue asesinado por robarlo, las autoridades están descartando la hipótesis. https://t.co/87JRtWtNl8	  bogotá capturar presunto asesinar mario felipe chávez   ahijar     principiar creer asesinar robarlo   autoridad descartar hipótesis   	5	0
704	1054334193218543616	2018-10-22 06:30:34	Citytv	#ArribaBogotá Con la firma del decreto, las autoridades han incautado más de 12000 elementos cortopunzantes en @TransMilenio. De acuerdo con la Policía, las estaciones más críticas son Avenida Jiménez y Ricaurte. https://t.co/HbMghCsKg0	  bogotá firmar decretar   autoridad incautar        elemento cortopunzantes     policía   estacionar crítico avenir jiménez y ricaurte   	5	0
2659	1072469894996860928	2018-12-11 07:35:23	Citytv	#ArribaBogotá Distrito lleva a cabo un operativo contra el trabajo infantil. Unidades móviles buscan a niños en las calles. Los menores no deben trabajar ni estar solos. En caso de que se presente lo contrario, las autoridades activan la ruta de restablecimiento de derechos. https://t.co/LxnwPCUhHl	  bogotá distrito a cabo operativo infantil   unidad móvil buscar a niño calle   menor   casar presentar contrario   autoridad activar ruta restablecimiento derecho   	5	0
1602	1062663392798932992	2018-11-14 06:07:50	Citytv	#ArribaBogotá Intervención de las autoridades en 3 puntos críticos de seguridad vial en Bogotá. Imprudencia y falta de señalización son algunos de los problemas. Localidades de Usme, Chapinero y Teusaquillo serán beneficiadas. https://t.co/AGBWEECcTr	  bogotá intervención autoridad    punto crítico seguridad vial bogotá   imprudencia y falto señalización problema   localidad usme   chapinero y teusaquillo beneficiar   	5	0
874	1055432920465371143	2018-10-25 07:16:31	Citytv	#ArribaBogotá La comunidad del barrio El Consuelo denuncia que un vecino se ha convertido en un acumulador de basura y representa inseguridad en la zona. Piden intervención urgente de las autoridades. https://t.co/IPbHGFcVUK	  bogotá comunidad barrio consolar denunciar vecino convertir acumulador basura y representar inseguridad zona   pedir intervención urgente autoridad   	5	0
2705	1072821674557485056	2018-12-12 06:53:13	Citytv	#ArribaBogotá Luego de ser capturado, un hombre que habría abusado sexualmente de una mujer recibió prisión domiciliaria. Autoridades invitan a denunciar al agresor #NoEsHoraDeCallar. https://t.co/7xPKyFd1j5	  bogotá capturar   hombre haber abusar sexualmente mujer recibir prisión domiciliario   autoridad invitar a denunciar agresor   hora callar   	5	0
2655	1072454846836588544	2018-12-11 06:35:35	Citytv	#ArribaBogotá Operativo de las autoridades permitió la captura de una banda dedicada al hurto de supermercados. Delincuentes ya habían sido capturados en varias ocasiones. Incluso uno de los detenidos tenía más de 20 reincidencias. https://t.co/Tr6MzrxWYu	  bogotá operativo autoridad permitir capturar banda dedicar hurtar supermercado   delincuente capturar ocasionar   detenido     reincidencia   	5	0
775	1054710205408333829	2018-10-23 07:24:43	Citytv	#ArribaBogotá Policía de @TransMilenio inicia la campaña 'Todos contra el hurto', con la que anuncia nuevas medidas de seguridad, especialmente para la temporada decembrina que se acerca. Esta también es una alianza entre las autoridades y los comerciantes del centro. https://t.co/Ld7NnWv9Vl	  bogotá policía    iniciar campaña   hurtar    anunciar medir seguridad   especialmente temporada decembrina acercar   alianza autoridad y comerciante centrar   	5	0
